run_id,job,runner_labels,job_s,step,step_s
36081942703,test macos-latest,macos-latest,135.0,Complete job,1.0
36081942703,doc (ubuntu),ubuntu-latest,23.0,Set up job,1.0
36081942703,doc (ubuntu),ubuntu-latest,23.0,Run actions/checkout@v7,1.0
36081942703,doc (ubuntu),ubuntu-latest,23.0,Install Rust,0.0
36081942703,doc (ubuntu),ubuntu-latest,23.0,Rustdoc (deny warnings),18.0
36081942703,doc (ubuntu),ubuntu-latest,23.0,Post Run actions/checkout@v7,0.0
36081942703,doc (ubuntu),ubuntu-latest,23.0,Complete job,0.0
36081942703,"msrv (1.85.0, ubuntu)",ubuntu-latest,29.0,Set up job,0.0
36081942703,"msrv (1.85.0, ubuntu)",ubuntu-latest,29.0,Run actions/checkout@v7,1.0
36081942703,"msrv (1.85.0, ubuntu)",ubuntu-latest,29.0,Install Rust 1.85.0,7.0
36081942703,"msrv (1.85.0, ubuntu)",ubuntu-latest,29.0,Check on the advertised MSRV,18.0
36081942703,"msrv (1.85.0, ubuntu)",ubuntu-latest,29.0,Post Run actions/checkout@v7,0.0
36081942703,"msrv (1.85.0, ubuntu)",ubuntu-latest,29.0,Complete job,0.0
36081942703,test ubuntu-latest,ubuntu-latest,125.0,Set up job,0.0
36081942703,test ubuntu-latest,ubuntu-latest,125.0,Run actions/checkout@v7,2.0
36081942703,test ubuntu-latest,ubuntu-latest,125.0,Install Rust,2.0
36081942703,test ubuntu-latest,ubuntu-latest,125.0,Install DuckDB CLI (Unix),0.0
36081942703,test ubuntu-latest,ubuntu-latest,125.0,Install DuckDB CLI (Windows),0.0
36081942703,test ubuntu-latest,ubuntu-latest,125.0,Verify DuckDB,1.0
36081942703,test ubuntu-latest,ubuntu-latest,125.0,Test,115.0
36081942703,test ubuntu-latest,ubuntu-latest,125.0,Doc tests,0.0
36081942703,test ubuntu-latest,ubuntu-latest,125.0,Post Run actions/checkout@v7,0.0
36081942703,test ubuntu-latest,ubuntu-latest,125.0,Complete job,0.0
35435246033,lint (ubuntu),ubuntu-latest,31.0,Set up job,1.0
35435246033,lint (ubuntu),ubuntu-latest,31.0,Run actions/checkout@v7,1.0
35435246033,lint (ubuntu),ubuntu-latest,31.0,Install Rust + components,8.0
35435246033,lint (ubuntu),ubuntu-latest,31.0,Format,0.0
35435246033,lint (ubuntu),ubuntu-latest,31.0,Clippy,11.0
35435246033,lint (ubuntu),ubuntu-latest,31.0,Package (locked),8.0
35435246033,lint (ubuntu),ubuntu-latest,31.0,Post Run actions/checkout@v7,0.0
35435246033,lint (ubuntu),ubuntu-latest,31.0,Complete job,0.0
